0.020000	0.080030	-128.334095	
0.040000	0.160065	-128.336496	
0.060000	0.240106	-128.340497	
0.080000	0.320157	-128.346100	
0.100000	0.400222	-128.353304	
0.120000	0.480305	-128.362109	
0.140000	0.560409	-128.372516	
0.160000	0.640537	-128.384525	
0.180000	0.720692	-128.398137	
0.200000	0.800878	-128.413353	
0.220000	0.881098	-128.430172	
0.240000	0.961356	-128.448597	
0.260000	1.041654	-128.468627	
0.280000	1.121995	-128.490263	
0.300000	1.202382	-128.513506	
0.320000	1.282819	-128.538358	
0.340000	1.363307	-128.564819	
0.360000	1.443851	-128.592891	
0.380000	1.524451	-128.622573	
0.400000	1.605112	-128.653869	
0.420000	1.685835	-128.686778	
0.440000	1.766622	-128.721302	
0.460000	1.847476	-128.757443	
0.480000	1.928399	-128.795201	
0.500000	2.009392	-128.834579	
0.520000	2.090458	-128.875577	
0.540000	2.171598	-128.918197	
0.560000	2.252814	-128.962441	
0.580000	2.334106	-129.008309	
0.600000	2.415478	-129.055805	
0.620000	2.496928	-129.104929	
0.640000	2.578459	-129.155682	
0.660000	2.660071	-129.208067	
0.680000	2.741765	-129.262085	
0.700000	2.823542	-129.317737	
0.720000	2.905401	-129.375026	
0.740000	2.987343	-129.433953	
0.760000	3.069368	-129.494520	
0.780000	3.151475	-129.556728	
0.800000	3.233665	-129.620579	
0.820000	3.315938	-129.686075	
0.840000	3.398291	-129.753217	
0.860000	3.480725	-129.822006	
0.880000	3.563239	-129.892446	
0.900000	3.645831	-129.964536	
0.920000	3.728500	-130.038279	
0.940000	3.811246	-130.113676	
0.960000	3.894065	-130.190729	
0.980000	3.976956	-130.269439	
1.000000	4.059918	-130.349807	
1.020000	4.142949	-130.431835	
1.040000	4.226045	-130.515525	
1.060000	4.309205	-130.600877	
1.080000	4.392426	-130.687893	
1.100000	4.475705	-130.776574	
1.120000	4.559040	-130.866921	
1.140000	4.642428	-130.958936	
1.160000	4.725865	-131.052619	
1.180000	4.809347	-131.147970	
1.200000	4.892873	-131.244992	
1.220000	4.976438	-131.343685	
1.240000	5.060038	-131.444050	
1.260000	5.143670	-131.546087	
1.280000	5.227329	-131.649797	
1.300000	5.311013	-131.755180	
1.320000	5.394716	-131.862237	
1.340000	5.478435	-131.970969	
1.360000	5.562164	-132.081375	
1.380000	5.645901	-132.193455	
1.400000	5.729639	-132.307211	
1.420000	5.813376	-132.422641	
1.440000	5.897105	-132.539746	
1.460000	5.980823	-132.658525	
1.480000	6.064524	-132.778979	
1.500000	6.148204	-132.901106	
