0.020000	0.018310	-226.553634	
0.040000	0.036619	-226.554183	
0.060000	0.054927	-226.555099	
0.080000	0.073235	-226.556380	
0.100000	0.091540	-226.558028	
0.120000	0.109843	-226.560042	
0.140000	0.128143	-226.562422	
0.160000	0.146440	-226.565167	
0.180000	0.164734	-226.568279	
0.200000	0.183023	-226.571757	
0.220000	0.201308	-226.575600	
0.240000	0.219588	-226.579809	
0.260000	0.237863	-226.584384	
0.280000	0.256131	-226.589324	
0.300000	0.274394	-226.594629	
0.320000	0.292650	-226.600299	
0.340000	0.310898	-226.606335	
0.360000	0.329139	-226.612735	
0.380000	0.347372	-226.619500	
0.400000	0.365596	-226.626630	
0.420000	0.383812	-226.634124	
0.440000	0.402018	-226.641983	
0.460000	0.420214	-226.650205	
0.480000	0.438400	-226.658791	
0.500000	0.456575	-226.667741	
0.520000	0.474739	-226.677054	
0.540000	0.492892	-226.686731	
0.560000	0.511032	-226.696770	
0.580000	0.529160	-226.707172	
0.600000	0.547276	-226.717936	
0.620000	0.565378	-226.729063	
0.640000	0.583466	-226.740551	
0.660000	0.601540	-226.752402	
0.680000	0.619600	-226.764613	
0.700000	0.637645	-226.777186	
0.720000	0.655674	-226.790119	
0.740000	0.673688	-226.803413	
0.760000	0.691686	-226.817066	
0.780000	0.709667	-226.831080	
0.800000	0.727631	-226.845453	
0.820000	0.745577	-226.860185	
0.840000	0.763506	-226.875276	
0.860000	0.781416	-226.890725	
0.880000	0.799308	-226.906533	
0.900000	0.817181	-226.922698	
0.920000	0.835035	-226.939220	
0.940000	0.852869	-226.956099	
0.960000	0.870683	-226.973335	
0.980000	0.888476	-226.990926	
1.000000	0.906248	-227.008874	
1.020000	0.923999	-227.027176	
1.040000	0.941729	-227.045834	
1.060000	0.959436	-227.064846	
1.080000	0.977121	-227.084211	
1.100000	0.994783	-227.103930	
1.120000	1.012422	-227.124003	
1.140000	1.030038	-227.144427	
1.160000	1.047630	-227.165204	
1.180000	1.065197	-227.186332	
1.200000	1.082740	-227.207812	
1.220000	1.100259	-227.229642	
1.240000	1.117751	-227.251822	
1.260000	1.135219	-227.274352	
1.280000	1.152660	-227.297231	
1.300000	1.170075	-227.320459	
1.320000	1.187464	-227.344034	
1.340000	1.204825	-227.367957	
1.360000	1.222160	-227.392227	
1.380000	1.239467	-227.416844	
1.400000	1.256746	-227.441806	
1.420000	1.273996	-227.467113	
1.440000	1.291219	-227.492766	
1.460000	1.308412	-227.518762	
1.480000	1.325577	-227.545102	
1.500000	1.342712	-227.571785	
1.520000	1.359817	-227.598811	
1.540000	1.376892	-227.626178	
1.560000	1.393937	-227.653886	
1.580000	1.410951	-227.681935	
1.600000	1.427935	-227.710324	
1.620000	1.444887	-227.739053	
1.640000	1.461808	-227.768120	
1.660000	1.478698	-227.797525	
1.680000	1.495555	-227.827268	
1.700000	1.512380	-227.857347	
1.720000	1.529173	-227.887763	
1.740000	1.545933	-227.918514	
1.760000	1.562659	-227.949600	
1.780000	1.579353	-227.981021	
1.800000	1.596013	-228.012774	
1.820000	1.612640	-228.044861	
1.840000	1.629232	-228.077280	
1.860000	1.645790	-228.110030	
1.880000	1.662314	-228.143112	
1.900000	1.678803	-228.176523	
1.920000	1.695257	-228.210264	
1.940000	1.711677	-228.244333	
1.960000	1.728060	-228.278731	
1.980000	1.744409	-228.313456	
2.000000	1.760721	-228.348507	
2.020000	1.776998	-228.383884	
2.040000	1.793238	-228.419587	
2.060000	1.809442	-228.455614	
2.080000	1.825609	-228.491965	
2.100000	1.841740	-228.528638	
2.120000	1.857834	-228.565634	
2.140000	1.873890	-228.602952	
2.160000	1.889910	-228.640590	
2.180000	1.905891	-228.678548	
2.200000	1.921836	-228.716826	
2.220000	1.937742	-228.755422	
2.240000	1.953610	-228.794335	
2.260000	1.969441	-228.833566	
2.280000	1.985232	-228.873113	
2.300000	2.000986	-228.912975	
2.320000	2.016701	-228.953152	
2.340000	2.032377	-228.993643	
2.360000	2.048014	-229.034447	
2.380000	2.063612	-229.075564	
2.400000	2.079171	-229.116992	
2.420000	2.094690	-229.158731	
2.440000	2.110170	-229.200779	
2.460000	2.125610	-229.243137	
2.480000	2.141011	-229.285804	
2.500000	2.156372	-229.328778	
2.520000	2.171693	-229.372059	
2.540000	2.186974	-229.415646	
2.560000	2.202214	-229.459538	
2.580000	2.217415	-229.503734	
2.600000	2.232575	-229.548234	
2.620000	2.247694	-229.593037	
2.640000	2.262773	-229.638142	
2.660000	2.277811	-229.683548	
2.680000	2.292809	-229.729254	
2.700000	2.307765	-229.775260	
2.720000	2.322681	-229.821565	
2.740000	2.337555	-229.868168	
2.760000	2.352388	-229.915067	
2.780000	2.367181	-229.962263	
2.800000	2.381931	-230.009755	
2.820000	2.396641	-230.057540	
2.840000	2.411309	-230.105620	
2.860000	2.425936	-230.153993	
2.880000	2.440521	-230.202658	
2.900000	2.455064	-230.251614	
2.920000	2.469566	-230.300860	
2.940000	2.484026	-230.350396	
2.960000	2.498444	-230.400221	
2.980000	2.512821	-230.450334	
3.000000	2.527155	-230.500734	
3.020000	2.541448	-230.551420	
3.040000	2.555699	-230.602392	
3.060000	2.569908	-230.653648	
3.080000	2.584075	-230.705188	
3.100000	2.598199	-230.757011	
3.120000	2.612282	-230.809116	
3.140000	2.626323	-230.861502	
3.160000	2.640321	-230.914169	
3.180000	2.654277	-230.967115	
3.200000	2.668191	-231.020340	
3.220000	2.682063	-231.073843	
3.240000	2.695893	-231.127623	
3.260000	2.709681	-231.181679	
3.280000	2.723426	-231.236010	
3.300000	2.737129	-231.290616	
3.320000	2.750790	-231.345495	
3.340000	2.764408	-231.400647	
3.360000	2.777985	-231.456071	
3.380000	2.791519	-231.511767	
3.400000	2.805011	-231.567732	
3.420000	2.818461	-231.623967	
3.440000	2.831868	-231.680471	
3.460000	2.845233	-231.737242	
3.480000	2.858556	-231.794280	
3.500000	2.871837	-231.851584	
3.520000	2.885076	-231.909153	
3.540000	2.898272	-231.966987	
3.560000	2.911427	-232.025084	
3.580000	2.924539	-232.083444	
3.600000	2.937610	-232.142066	
3.620000	2.950638	-232.200949	
3.640000	2.963624	-232.260091	
3.660000	2.976568	-232.319494	
3.680000	2.989470	-232.379154	
3.700000	3.002331	-232.439072	
3.720000	3.015149	-232.499247	
3.740000	3.027925	-232.559678	
3.760000	3.040660	-232.620364	
